Attribute,Frequency
shock,84
wbc,84
dfddp,84
gradient,84
inflammation,84
1.1,84
the left chest wall,84
reduced,84
wound,84
relate,84
listen,84
parotids,84
"final report
 type",84
hilar mass,84
"
                           ",84
output,84
dilation,83
dx,83
34,83
standard placement,83
tuberculosis,83
0.035,83
cortex,83
the thoracic aorta,83
paged,83
data,83
59 year old woman,83
"the
                           radiology listen line",83
preliminary results,83
the right pleural effusion,82
lymphoma,82
celiac,82
intrahepatic,82
upper lobe,82
a foley catheter,82
supervising,82
c.,82
feeding tube,82
right hilar mass,82
components,82
significance,82
continuous,82
the lumbar spine,82
substantially,82
joint,82
intrathoracic,81
exacerbation,81
the extent,81
breast,81
part,81
standard position,81
the cavoatrial junction,81
segments,81
comment,81
2.9,81
                                                      ,81
visualization,81
catheters,81
sphenoid,81
43 year old woman,81
(revised,81
restricted,81
the absence,81
        ,81
"final report
 exam",81
ct abdomen,80
scanning,80
processes,80
the periphery,80
pleural thickening,80
"pleural
 effusion",80
head ct,80
residual tumor,80
plugging,80
apparently,80
detail,80
lap,80
100 cc,80
reintubation,80
informed consent,80
fundus,80
approved,80
ventriculostomy,79
"the right
 lung",79
name5,79
the right chest tube,79
destructive,79
vertex,79
projection,79
cord compression,79
infusion,79
a small right pleural effusion,79
lead,79
v,79
the junction,79
the left lobe,78
interval progression,78
soft tissue,78
contusion,78
bronchiectasis,78
73 year old woman,78
the pulmonary vasculature,78
right middle lobe,78
cholecystectomy,78
terminate,78
showed,78
wand,78
clinical correlation,78
microvascular,78
fa7a,78
fluid overload,78
sputum,78
pod,78
count,78
thecal,77
decubitus,77
no free fluid,77
generated,77
"brain mass
  contrast",77
little change,77
xray,77
72 year old man,77
osteomyelitis,77
3.6,77
t1-,77
an et tube,77
57 year old woman,77
submitted,77
lower lobe mass,77
spaces,77
measured,77
expanded,76
lad,76
j,76
tract,76
usual,76
right pneumothorax,76
great vessels,76
displayed,76
hyperintense,76
excretion,76
"the
 mediastinum",76
stable position,76
enlarging,76
alternatives,76
anasarca,76
upper lobe mass,76
longer,76
status post resection,76
withdrawn,76
associated atelectasis,76
massive,76
ventilator,76
arf,76
fatty,75
metallic,75
shoulder,75
lower lobe collapse,75
debridement,75
surrounding edema,75
the visualized paranasal sinuses,75
axilla,75
bifurcation,75
overt,75
the distal svc,75
3.2,75
0.018,75
artifacts,75
past,75
ascending,75
the paranasal sinuses,75
anticoagulation,75
inr,75
tracking,75
"the
 administration",74
observed,74
repositioned,74
prior studies,74
taken,74
retropulsion,74
uti,74
afib,74
stone,74
normal flow,74
cardiac silhouette,74
shaped,74
complicated,74
resolving,74
especially,74
the soft tissues,74
direct comparison,74
stat,74
active,74
graft,73
achieved,73
this time,73
the superior segment,73
peribronchial,73
right lung ca/sda,73
ams,73
sounds,73
replaced,73
potential,73
extrinsic,73
extravasation,73
cardiomediastinal contours,72
the attending radiologist,72
cv,72
cerebellar mass,72
ductal,72
hematocrit,72
1.25,72
nonsmall,72
the left apex,72
the sheath,72
dual,72
pacer,72
ica,72
the radiograph,72
raises,72
flushed,72
61 year old woman,72
satellite,71
rays,71
distortion,71
first name4,71
unusual,71
the risks,71
repair,71
exams,71
cytology,71
pericardiocentesis,71
                                   ,71
the nasogastric tube,71
characterization,71
drains,71
formation,71
heterogeneously,71
the lower svc,71
bullous,71
41,71
margins,71
bulge,71
swallowing,70
perf,70
all,70
replct,70
dialysis,70
complex,70
aspiration pneumonia,70
slight improvement,70
dural,70
completion,70
sacrum,70
baseline,70
"the left
 hemithorax",70
reveals,70
repeated,70
mediastinal lymphadenopathy,70
"the
 left lung",69
pre-op pa,69
device,69
close,69
analysis,69
pancreatitis,69
volume overload,69
irregularity,69
pull,69
specifically,69
cta chest w&w/o c,69
52 year old woman,69
3.4,69
marrow,69
consolidative,69
spot,69
82 year old woman,69
written,69
diarrhea,68
lesser,68
mg,68
suboccipital,68
basilar atelectasis,68
uneventful,68
successful placement,68
e,68
subacute,68
extensive subcutaneous emphysema,68
infrarenal,68
persistence,68
video oropharyngeal,68
they,68
the stent,68
3.1,68
refer,68
subcutaneous air,68
pic,68
sulcus,68
c7,68
hole,68
hospital 2**] medical condition,68
sequelae,68
carcinomatosis,68
89,67
shunt,67
suite,67
facet,67
71 year old woman,67
csf,67
brought,67
s.,67
accumulation,67
lt,67
lower lobectomy,67
pretracheal,67
the ct,67
placements,67
tibial,67
the right lateral ventricle,67
slow,67
(single organ,67
duplex,66
asses,66
the lung apices,66
55 year old man,66
corresponds,66
ct head,66
pneumothoraces,66
nsclca,66
the et tube tip,66
name11,66
sudden,66
cuff,66
consider,66
lower lobe consolidation,66
mixed,66
helically,66
preprocedure,66
attempt,66
hyperinflation,66
invading,66
"
          ",66
bypass,66
2156,66
collimation,66
supplying,66
radiopaque,66
obscuring,66
cts,65
"none.

 findings",65
open,65
diagnostic,65
hematemesis,65
majority,65
"effusion
 admitting diagnosis",65
liquids,65
the ett,65
st,65
earlier the same date,65
trunk,65
3.3,65
displaced,65
mediastinal structures,65
multilevel degenerative changes,65
normal size,65
86 year old man,65
the ivc,65
bilobectomy,65
stereotactic,65
a component,65
left upper lobe,64
the earlier study,64
voids,64
colonic,64
hyperinflated,64
"infiltrate
 admitting diagnosis",64
optimal,64
functional,64
biapical,64
inspiration,64
multifocal pneumonia,64
the left lateral ventricle,64
name pattern1,64
pattern1,64
dressing,64
multi,64
incidental,64
picc line,64
vocal,64
appeared,63
hct,63
segmentectomy,63
femur,63
micu,63
le,63
lung carcinoma,63
the airways,63
aneurysmal,63
meningitis,63
plane,63
2.0,63
anatomy,63
"metastatic
 disease",63
widely,63
these lesions,63
distally,63
rest,63
81 year old woman,63
p.,63
47 year old man,63
the upper svc,63
the chest tube,63
symptoms,63
the day,63
nerve,62
urinary bladder,62
picc line placement,62
comparison study,62
valve,62
convexity,62
puncture,62
single ap view,62
the prior ct,62
venogram,62
slice,62
lung volumes,62
peroneal,62
attempts,62
bile,62
nectar,62
85 year old man,62
detailed,62
"




               ",62
stir,62
"the prior
 study",62
a right-sided chest tube,61
no intracranial hemorrhage,61
clamped,61
round,61
potentially,61
pneumonia;mass,61
ed,61
dvts,61
short axis,61
"the right upper
 lobe",61
ng tube placement,61
seed,61
the thorax,61
ring,61
scans,61
extend,61
77 year old woman,61
the left adrenal gland,61
projected,61
normal compressibility,61
half,61
monitored,61
nurse,61
urine,60
no dvt,60
spin,60
detection,60
"pe
 no contraindications",60
stent placement,60
(namepattern2,60
subpulmonic,60
paracostasl,60
look,60
                       ,60
a chest tube,60
core,60
failed,60
cardiac size,60
encephalomalacia,60
orogastric,60
left-,60
risk,60
neuro,60
inability,60
requested,60
chnage,60
a mass,60
coarse,60
redemonstration,60
occurred,60
the right lower lung,60
t5,60
skeletal,60
the ge junction,60
coursing,60
laryngeal,60
the right main stem bronchus,60
.,60
different physician,59
febrile,59
week,59
80 year old woman,59
the history,59
decompression,59
noon,59
the right costophrenic angle,59
desaturations,59
plactment,59
lucencies,59
pocket,59
complication,59
the left pleural effusion,59
widened,59
residue,59
apical pneumothorax,59
increased density,59
right-,58
lung collapse,58
a large amount,58
hemangioma,58
mci,58
"the right
 hemithorax",58
sixth,58
no pulmonary embolism,58
                                  ,58
admission,58
hospital3,58
specific,58
infiltrative,58
pulmonary vascular congestion,58
technical,58
paranasal sinuses,58
retained,58
suboptimal,58
coumadin,58
homogeneous,58
plaques,58
term,58
markers,58
pons,58
the left lung apex,58
right apical pneumothorax,57
htn,57
44 year old woman,57
we,57
bacteremia,57
page,57
atrophic,57
encasing,57
wheezing,57
soft tissues,57
right-sided pleural effusion,57
gastrostomy,57
pre-,57
uncomplicated,57
subdiaphragmatic evaluation,57
the pneumothorax,57
result,57
plcmt,57
secured,57
dynamic,57
thoracolumbar,57
status post bronchoscopy,57
"the
 right upper lobe",57
infarction\cath,57
adenoca,57
enhance,57
dimensions,57
no acute intracranial hemorrhage,57
limitations,57
the right middle,57
lulobectomy,57
reintubated,56
the right upper lung,56
"iv
 contrast",56
multiplanar t1-,56
chain,56
recent ct,56
adnexa,56
advancement,56
cut,56
the imaged portion,56
te,56
no pe,56
the visualized portions,56
clinical history,56
required,56
opacifications,56
septic,56
3.0,56
3.7,56
3.9,56
showing,56
"





",56
gastroesophageal,56
the ng tube tip,56
both,56
known lung cancer,56
severity,56
symmetric,56
stemi,56
hemodynamic,55
no fracture,55
                      ,55
suture,55
tortuosity,55
pet-ct,55
lung ca left/sda,55
dislocation,55
the pleura,55
r/o pneumothorax,55
movement,55
vertebra,55
indicative,55
po,55
event,55
paraspinal,55
saturation,55
sitting,55
"final report
 examination",55
og tube placement,55
excision,55
78 year old woman,55
the left costophrenic angle,55
etc,55
postsurgical,55
record,55
503,55
suspicion,54
32,54
motor,54
s/p bronch,54
the prior film,54
vertebroplasty,54
this exam,54
the visualized portion,54
coils,54
borders,54
suitable,54
83 year old woman,54
37,54
the adrenal glands,54
sign,54
you,54
sesha,54
the urinary bladder,54
craniectomy,54
s/p,54
the lateral view,54
lethargy,54
burden,54
cranial,54
percutaneous,54
project,54
diverticula,54
visceral,54
sc,54
"20
 _",54
pedicle,54
fiducial,54
non-contrast head,54
continuously,54
appreciably,54
outside hospital,54
thank,54
projections,54
the body,54
a tracheostomy tube,54
the left main bronchus,53
organs,53
diminished,53
cta chest,53
no suspicious lytic or blastic lesions,53
the pleural space,53
reassess,53
adequate,53
distal svc,53
35,53
carinal,53
70 year old woman,53
needed,53
abnormal enhancement,53
53 year old woman,53
prior radiograph,53
pacs,53
the mastoid air cells,53
the sulci,53
inner,53
left upper lobe ca/sda,53
the spinal canal,53
wide,53
11:30,53
staff,53
determine,53
doses,53
interval chnage,53
mca,52
accompanied,52
pleurex,52
coronary artery calcifications,52
right thoracotomy,52
severely,52
plug,52
plate,52
no definite pneumothorax,52
selective,52
4.2,52
single frontal view,52
skeleton,52
tracheoesopheal,52
knee,52
bil,52
greatest,52
talc,52
lung fields,52
retraction,52
flap,52
loop,52
sludge,52
iii,52
response,52
air bronchograms,52
plain,52
generalized,52
indwelling,52
scout,52
2102,52
pneumatosis,52
3.8,52
"the right
 lower lobe",52
numeric identifier,52
physicians,51
median sternotomy,51
a left-sided chest tube,51
right lower lobectomy,51
the [**last name,51
dysphagia,51
interlobular,51
function,51
79 year old woman,51
planes,51
retention,51
tb,51
the bronchus intermedius,51
vague,51
cleared,51
a history,51
                        ,51
pulmonary vasculature,51
accessed,51
inflated,51
microcatheter,51
left pneumonectomy,51
mental status,51
tr,51
low lung volumes,51
consideration,51
"the
 appearance",51
prior film,51
"no relevant
 change",51
asymmetric pulmonary edema,51
sigmoid colon,51
subpleural,51
conspicuous,51
ekg,51
compressible,51
the chest wall,51
no definite evidence,51
the cardiac and mediastinal contours,51
"the
 prior study",51
discussion,50
fifth,50
ajy,50
first name,50
proper,50
supratentorial,50
new diagnosis,50
two right-sided chest tubes,50
negative,50
the tracheostomy tube,50
warranted,50
gallstone,50
pharyngeal,50
divided,50
limited views,50
51 year old man,50
aside,50
the right mid lung,50
gadolin,50
pacu,50
"the
 previous study",50
reconstructed,50
gadavist,50
consistencies,50
n,50
questions,50
stability,50
routine,50
"

         ",50
the right upper quadrant,50
considerations,50
                                                     ,50
features,50
mesothelioma,50
asp,50
parieto,50
medications,50
the spinal cord,49
flutter,49
torsion,49
mr head w/ contrast,49
ruq,49
floor,49
"the left upper
 lobe",49
abrupt,49
infectious process,49
prior examination,49
>,49
ngt placement,49
pyelonephritis,49
territory,49
angio,49
[**name13,49
"
           ",49
the same date,49
aortogram,49
the prior radiograph,49
"the right
 upper lobe",49
gastrointestinal bleed,49
am,49
383,49
osteophyte,49
fa11,49
right-sided chest tube,49
multiple priors,49
earlier the same day,49
midline shift,49
route,49
melanoma,49
the right groin,49
"the
 procedure",49
encases,48
tpn,48
a focus,48
ureter,48
endplate,48
hard,48
mrsa,48
vascular congestion,48
the left cerebellar hemisphere,48
no midline shift,48
pulmonary vascularity,48
emphysematous changes,48
exposure,48
the previous exam,48
occupying,48
dl,48
attempted,48
ex,48
2:30,48
recurrence,48
silhouettes,48
abuts,48
"the left
 lower lobe",48
both kidneys,48
                           ,48
the prior chest x,48
resp failure,48
the uterus,48
the left chest,48
tail,48
partial collapse,48
non-,48
[**age over 90 **] year old woman,48
subcutaneous gas,48
circumscribed,48
syncope,47
flight,47
retrospect,47
intervention,47
angiographic,47
obscures,47
humeral,47
rue,47
right upper lobe nodule,47
clavicle,47
no areas,47
distension,47
treated,47
positive,47
decompressed,47
loculations,47
dose,47
respectively,47
no hydronephrosis,47
locules,47
small left pleural effusion,47
the evaluation,47
"hemoptysis
  contrast",47
appendix,47
the bases,47
the right chest,47
"the left
 hemidiaphragm",47
inf,47
passed,47
incl,47
the left main stem bronchus,47
no ptx,47
patchy opacities,47
86 year old woman,47
unenhanced,47
raising,47
peritoneal,47
parameters,47
lobectomies,47
adjustment,47
the picc line,47
right lung mass,47
mammary,47
resident,47
joints,46
able,46
ligament,46
83 year old man,46
coronal and sagittal reformats,46
-gram,46
right upper lobe mass,46
no hemorrhage,46
left chest tube,46
5.5,46
bone scan bone scan                                                       clip #,46
150 cc,46
thoracocentesis,46
humerus,46
mcg,46
one view,46
60 year old woman,46
reference exam,46
incomplete,46
the patient's history,46
ll,46
osteopenia,46
interstitial edema,46
the field,46
the cord,46
mid svc,46
arising,46
hepatitis,46
55 year old woman,46
he,46
flex,46
the right upper lobe bronchus,46
closure,46
adjacent atelectasis,46
enya,46
rllobectomy,46
uncal,46
the peel-away sheath,46
the right lateral chest wall,46
large right pleural effusion,46
symmetrically,46
alternatively,46
the right parietal lobe,46
intraabdominal,46
portable chest,46
tracheobronchial,46
the minor fissure,46
ankle,46
embolized,46
1st,46
far,45
desats,45
purposes,45
weeks,45
correct,45
/,45
the left chest tube,45
motion artifact,45
benign,45
case,45
gad,45
determined,45
