pretty_name,cui,frequency,average_acc
Pulmonary Opacity,C4531104,70,1.0
Tube Feeding Of Patient,C0041281,27,0.9572762671020638
Gastrointestinal Tract Feces,C0015733,16,0.8871283521983485
Io Intestinal Obstruction,C0021843,149,1.0
Paralysis Of Intestine,C0030446,3,1.0
Acute Onset Cough,C0742857,1,1.0
Pre Existing,C2347662,107,1.0
Newly,C0750546,166,1.0
Occur Action,C1709305,61,1.0
Receiving,C1514756,41,1.0
Avid,C2986972,101,1.0
Ground Glass Opacification,C5539411,275,1.0
After Treatment,C1882428,15,1.0
Enlarged Supraclavicular Lymph Node,C0749155,6,0.8090097464458847
Structure Of Lymph Node Of Right Axilla,C4545644,2,1.0
Morphological,C0543482,28,0.9429492319040885
Set Of Inferior Tributary Of Tracheobronchial Lymph Nodes,C0229753,43,1.0
Structure Of Subclavian Artery,C0038530,73,0.9627188341570174
Aortic Arch Structure,C0003489,178,0.9876195283534911
Descending,C0205386,62,0.8780831688276717
Structure Of Annulus Fibrosus Of Aorta,C0225957,5,1.0
Prior Radiation Therapy,C0279134,26,1.0
Structure Of Parenchyma Of Lung,C0819757,90,0.9804791645953324
Anatomical Layer,C0934502,327,0.9988875364061482
Loculated Pleural Effusion,C0747639,65,1.0
With Cough Fever,C1277295,35,1.0
Fundic,C0740422,38,0.9103503816254329
Reviews Concurrent,C0009642,1,1.0
Elongated,C0205166,107,0.9445512947399345
Pneumothorax Right,C0546333,408,1.0
Interstitial Pulmonary Edema,C0748120,34,1.0
Part Of,C1292711,100,1.0
Interesting,C0543488,3,1.0
Few Hours,C4036223,10,1.0
Right Pulmonary Viewed Anatomically Apex,C0225707,141,1.0
Video Assisted Thoracoscopic Surgeries,C0752151,439,0.9300177925116917
Resolved Completely,C5419890,18,1.0
Is Smaller Than,C1553887,9,1.0
Much Better,C3841449,10,1.0
Biopsy Of Mediastinal Lymph Node,C0398435,4,1.0
Main Pulmonary Artery,C3890179,225,0.9997777777777779
Structure Of Trunk Of Pulmonary Artery,C0034052,481,0.9686981430046476
Hypertensive Disorder Systemic Arterial,C0020538,53,0.9240854736717774
Right Superior,C1180150,38,1.0
Descending Aorta Structure,C0011666,41,0.9899999999999999
Shortest,C1806781,202,0.9462744344081476
Subsequent,C0332282,202,0.9434191295500103
Of Extension,C0439792,240,0.9477086422731253
Bronchial Secretion,C1511332,10,1.0
Three Months,C4082119,4,1.0
Does Communicate,C0566001,145,0.9985927787786697
Slightly Worse,C3841647,40,1.0
Subcutaneous Air,C3842127,140,1.0
Right Posterior,C0456855,118,0.8590250130980635
Head Of Right Humerus,C0507142,10,1.0
Synovial,C1550315,1,1.0
Thoroughly,C4708903,8,1.0
Cancers Diagnosis,C0920688,5,1.0
Respiratory Compromise,C5208132,1,1.0
Hippocampus Proprius,C3887642,11,1.0
Atheromatous Degeneration,C0264956,9,0.9083623288924524
10 Days,C1547061,12,1.0
Lymphangitic Metastatic Disease,C0238258,56,1.0
Lateral Margin,C4489134,12,1.0
Structure Of Lingula Of Left Lung,C0225740,190,0.9096346354204469
Anatomical Site Of Surgery,C0332850,49,1.0
Chest Abdomen And Pelvis,C1562547,84,0.9914327091884384
Physical Hard Work,C0015264,14,1.0
Bronchopulmonary Lymphadenopathy,C0456973,220,1.0
Arterial Tree Organ Part,C0003842,667,0.9763829462663013
Mitral,C0746591,14,1.0
Neck Of The Pancreas,C0447556,256,0.9393891179603783
Structure Of Hepatic Vein,C0019155,29,0.9903448275862063
Fatty Replacement,C3276197,8,1.0
Right Kidney Structure,C0227613,104,0.9019015340932318
Mass Of Soft Tissue,C0457193,129,0.8154004595176492
Granulomatous Infection,C1610637,7,1.0
Scientific Studies,C0947630,44,0.846646594921316
Left Parietal Lobe Structure,C0228208,46,0.842111547215093
Complex Nodule Shape,C4761670,34,0.8249948324611645
Effacement,C0552443,124,1.0
Isointense,C1517605,5,1.0
Diffusion Function,C0012222,44,0.8029697032003976
Left Lateral Ventricle Structure,C0228161,94,0.8023485343804675
Superior Sagittal Sinus Structure,C0226859,3,0.8423788529332664
Occlusive,C1947917,157,0.9764719503367864
Periventricular,C5237503,88,1.0
Do Not,C3840725,106,1.0
Artifact Medical Device Problem,C1879740,4,1.0
Greatest,C0205393,44,1.0
Tissue Of Parietal Lobe Of Brain,C0030560,54,0.9108573695172699
Homogeneous,C1881065,56,1.0
Diaphragm Flattening,C0743169,6,1.0
Calcifications Of The Aorta,C1096249,4,0.7721532821413576
Dish Diffuse Idiopathic Skeletal Hyperostosis,C0020498,5,0.992
Recommendations,C0034866,163,1.0
Soft Tissue Swelling,C0037580,37,1.0
Generation Action,C3146294,77,1.0
Large Amount,C3869890,103,1.0
Surgical Sequelae,C2038383,2,1.0
Note : Find : Pt : Setting : Doc : Physician Attending,C3869941,3,1.0
Magnetization Prepared Rapid Gradient Echo Mri,C3898475,137,1.0
Surgically Created Resection Cavity,C1515091,61,1.0
Structure Of Right Axillary Region,C0230337,34,0.9705944018089082
Resection Of Rib,C0185827,34,1.0
Tortuous,C4068863,124,1.0
Mandibular Right First Molar Abutment Mesial Hemisection,C1553669,17,1.0
Structure Of Right Middle Lobe Of Lung,C4281590,781,0.8891245781401832
St Segment Elevation Myocardial Infarction,C1536220,79,0.9185751846025477
Pulmonary Pathology,C0748168,8,1.0
Contain Action,C2700400,275,0.9368164161362459
Contrast Bronchogram,C0006282,115,0.9841820497696676
Criterion,C0243161,113,1.0
Ct Scan Of Abdomen Without And With Iv Contrast Procedure,C4029517,2,1.0
Liver And Pancreas,C1442317,10,1.0
Reticuloendothelial System Spleen,C0037993,34,0.8000163702966179
Gallbladder Thickening Wall,C0744257,16,1.0
Acute Diverticulitis,C0518989,18,1.0
Inguinal Lymphadenopathy,C0578736,43,1.0
Epithelioid Granulomas,C0018188,27,0.983764869643886
Bronchioloalveolar Adenocarcinoma Of The Lung,C0007120,26,0.9898880269132242
Acute Cholecystitis,C0149520,40,1.0
2 Months,C1442456,3,1.0
Cdisc Sdtm Procedure Terminology,C3539779,21,0.8099590180848598
One Year,C4082117,5,1.0
Adherent,C0334154,4,1.0
Free Wall Of Right Atrium,C0503984,1,1.0
Heterogenous,C1512426,30,1.0
Sclerotic Bones,C4315325,20,1.0
Status In Progress,C1272688,113,1.0
Recurrence Of Tumour,C0521158,183,0.9502657858007614
Carcinoma Of The Thyroid Gland,C0549473,4,0.99
Direct Qualifier,C1947931,46,0.9120845685668335
Referring Physician,C1709880,29,1.0
History Of Pneumonia,C0455542,9,1.0
Siphona,C1204751,11,1.0
White Blood Cell Count Increased Lab Result,C0750426,86,0.9081644530409856
Indeterminate Nodule Type,C4761389,84,0.9313446594398145
Attributions,C0596130,9,1.0
Grayscale Color Map,C2827990,93,1.0
Color Doppler,C4697739,53,1.0
Structure Of Posterior Tibial Artery,C0086835,41,0.9947377805757954
Structure Of Lobular Bronchiole,C0006270,10,1.0
Intralobular Septal Thickening,C5539736,10,1.0
Post Pneumonia,C2062928,3,1.0
Inflamed Gallbladder,C0008325,67,0.9226618467306614
New Lesion Identification,C2986548,58,1.0
Moderately Severe Hallucination,C4744688,28,1.0
Cage Device,C0337189,21,0.9552829029863387
Sternotomies Median,C1282959,121,1.0
Treatment,C1522326,54,0.9741813990732539
Imaging Finding,C1287399,1,1.0
Oxygen Saturation Below Reference Range,C0746961,21,1.0
Increased Shortness Of Breath,C0574066,19,1.0
Management Procedures,C1273870,10,0.9347634115175362
Pyrexial,C0015967,97,0.9289376804525291
Appendicitis With Rupture,C0854119,3,1.0
Pulmonary Atelectases Compression,C0264499,14,1.0
Mucinous Neoplasm,C1334811,3,1.0
Radioactive Seed Implant Dosing Unit,C1882540,13,0.8741225040799291
Foley Catheterization,C3489669,4,1.0
Adenopathy Inguinal,C1386344,4,1.0
Screws,C0301559,38,0.917035029384415
Colon And Rectum,C0391908,23,0.9904347826086952
Vascular Catheters,C0441134,38,1.0
Suboptimal,C2984009,58,1.0
Renal Insufficiency Syndrome,C0035078,56,0.9704433578251475
Structure Of Right Subclavian Vein,C0489887,43,0.8380086932881892
Compressing Action,C0332260,79,0.991955744237857
Hyperechoic,C4697722,10,1.0
Renal Ultrasound Imaging,C0203408,30,1.0
Matrix Metalloproteinases,C0623362,9,0.9608202385056528
Appendicitis With Perforation,C0267628,4,1.0
Shooting Sensation Quality,C1444774,1,1.0
Peripherally Inserted Central Catheter Physical Object,C0179740,179,0.8274841573982942
Subclavian Central Venous Line,C2036626,51,1.0
Revision Procedure,C1527075,106,0.9984993871233085
Contrast Enhanced Computed Tomography,C0742919,14,1.0
Left Cerebral Hemisphere Structure,C0228176,9,0.8180979552384527
Internal Carotid,C0741978,30,1.0
Extramural,C0205101,18,0.8647089529486799
Metallic Lead,C0023175,73,0.8582869117645786
Streak,C2348542,46,1.0
Ethmoid Sinus Structure,C0015028,34,0.8744663919447057
Family History Of Coronary Artery Bypass Graft Surgery,C5238572,197,1.0
Procedure Sternum Wiring,C0407260,39,1.0
Creatinine Normal,C0860945,1,1.0
Atrophying,C0333641,55,0.9824088011750929
Retroperitoneal Lymph Node Enlargement,C0240900,2,1.0
Vasculature Of Pelvis,C1184263,2,1.0
Anterior Osteophytes,C1842152,14,1.0
Right Anterior,C0441997,49,0.8799285346907141
Si Joint,C5453012,11,1.0
Unclear State Of Matter,C4725585,117,1.0
Not Visualized,C4697694,111,1.0
West Direction,C1705493,22,1.0
Medical Record Device,C0025102,36,0.9402914565721306
Cerebral Oedema,C0006114,22,1.0
Cortex Of Right Cerebral Hemisphere,C2953008,1,1.0
Right Cerebral Hemisphere Structure,C0228175,12,0.8079867352437732
Tissue Of Occipital Lobe Of Brain,C0028785,28,0.8110268294873297
Structure Of Right Internal Carotid Artery,C0226156,22,0.8455935904261974
Rightward,C5570774,209,1.0
Electrical Activity Of Brain,C0234388,2,1.0
Septal Defects Aorticopulmonary,C0003516,53,0.9748282567332338
Ruq Right Upper Quadrant,C0439734,48,0.7913814925864903
Metallic Foreign Material,C1720389,7,1.0
Cerebellar Metastases,C0919985,12,1.0
White Matter Changes,C1833300,3,1.0
Intraoperative Haemorrhage,C0079027,11,1.0
Before Surgery,C0445204,26,1.0
Bilobular,C4086023,20,1.0
A Moderate Amount,C3843498,38,1.0
Neoplasm Of The Leptomeninges,C0751297,19,1.0
Right Superior Frontal Gyrus,C2338731,2,1.0
Operative,C1882154,73,1.0
Medial Part Of Gyri Orbitales,C0152300,9,0.9891117113380541
Diffusion Weighted Magnetic Resonance Imaging,C0598801,36,0.9850415385377711
Multiple Falls,C0743800,15,1.0
Central Lobe Of The Cerebellum,C0228482,4,0.7710337048911133
Signal Intensity,C0871362,80,1.0
Distorted,C0700135,3,1.0
Left Main Coronary Artery Segment,C1261082,182,1.0
Narrowing Of The Joint Spaces,C1859695,4,0.8093020821578056
Spur Body Structure,C0222032,9,0.9944444444444444
Ramus Intermedius Artery Segment,C3538818,14,1.0
Stents Bronchial,C0183513,138,1.0
Mild Scoliosis,C1839253,7,1.0
Antineoplastic Chemotherapy Regimen,C0392920,195,0.9852355386623118
Large Posterior Fossa,C4693029,5,1.0
Obstructive Hydrocephalus,C0549423,19,1.0
Found Down,C0744212,22,1.0
Neoplastic,C1709160,79,1.0
Third Ventricle Structure,C0149555,20,0.8321371834596782
Mandibular Left Second Premolar Mesial Prosthesis,C1553596,2,1.0
Transcription Factor 21 Protein Human,C1454475,18,1.0
Clinical Apex Of Right Lung,C0929167,143,0.8105963906284395
Post Procedure,C3272301,73,1.0
Lateral To The Right,C0450415,104,0.8564048727284058
Pulling Action,C0580846,176,0.9975036073124554
Post Thoracic Surgery,C2062975,9,1.0
Contusion,C0009938,48,1.0
Row Table,C1552840,2,0.995
Mechanical Difficult,C1403645,2,1.0
Etiology Aspects,C0015127,13,0.8443833773166068
Respiratory Distress Syndrome Acute,C0748355,1,0.8308041384702471
Pulmonary Congestion,C0242073,29,1.0
Rapidly Progressive,C1838681,8,1.0
Rapid Onset,C1838994,7,1.0
Fulminant Graft Versus Host Disease,C0856825,19,0.7796198787117465
Bone Structure Of Clavicle,C0008913,38,1.0
Structure Of Lymph Node Of Left Axilla,C4545645,6,1.0
Enlarged Right Axillary Lymph Node,C2200828,3,1.0
A Little T Super Little A,C3176832,20,1.0
Example,C1707959,77,1.0
Metastasis From Malignant Neoplasm Of Pleura,C2119038,9,1.0
Attenuation,C0599946,33,0.9674704034504896
Parapelvic Cyst,C5554139,8,1.0
Structure Of Splenic Vein,C0038001,13,0.9923076923076924
Structure Of Retroperitoneal Lymph Node,C0229802,43,0.9923255813953488
General Bone Observation,C0427191,13,1.0
Short Terms,C0443303,29,1.0
Enlarged Left Axillary Lymph Node,C2140138,8,1.0
Flexion Function,C0231452,10,0.999
Retraction Finding,C0332523,37,0.8879919264347956
Semi Erect,C0522019,58,1.0
Mediastinum Widening,C0746459,100,1.0
Pneumonectomy Operations,C0032284,1037,0.9167079900075771
Positional,C0240795,31,1.0
Helpful,C3898897,127,1.0
Rib Defects,C1849705,7,1.0
It Was About What I Expected,C4055439,24,1.0
Left Shifted White Blood Cells,C0240173,48,0.9968749999999998
Accumulation Of Fluids,C0333229,37,1.0
To Be Stopped,C1272691,5,1.0
Simulate Composite Resin,C0284447,3,1.0
Intraparenchymal Route Of Administration,C3898701,93,1.0
Patient Is Male,C0150904,36,1.0
Interpreting,C1285553,19,1.0
Drainage Tubes,C0184114,20,0.9816016362516979
Nodule S,C1546722,16,1.0
Day 2,C3842676,10,1.0
Computed Tomography Angiography Of Thorax,C2703057,43,1.0
Kernel,C1881303,3,1.0
Thin Sectionings,C0026040,9,1.0
Workstations,C1736830,25,1.0
Vitreous Findings,C2228511,3,1.0
Observation Of Swelling,C0038999,81,1.0
Vein Right,C0947210,14,1.0
Reticuloendothelial System Leukocytes,C0023516,16,0.8352832934941077
Expanding,C0205229,82,1.0
Diagnostic Angiography,C0002978,98,0.9571584790254792
Bronchial Wall Thickening,C4084859,50,0.9930000000000001
Hepatic Lobes,C0447541,4,1.0
Conjunction,C2699427,78,1.0
Multisection For Torsion,C4263639,5,1.0
Catheters Pleural,C1322293,76,1.0
Recent Surgery,C2169607,41,1.0
Convex,C0521163,29,1.0
Bronchopulmonary Lavage Therapy,C1535502,1,1.0
Intrapulmonary Haemorrhage,C0151701,60,0.9123672591689203
Postoperative Haematoma Formation,C0472340,6,1.0
Supportive Assistance,C1521721,6,0.9966666666666667
Feeding Tube Device,C2945625,168,0.878679032007915
Cleared By,C0521097,51,1.0
Diameter . Transverse,C0552414,8,1.0
Right Middle Lobe Syndrome,C2062968,1,1.0
Posterior Anterior,C1999039,5,1.0
Sitting Upright,C1280451,13,1.0
Bronchoscopic,C0442419,38,1.0
Pulmonary Resection,C0396565,41,1.0
Acute Renal Failure Syndrome,C0022660,76,1.0
Ureteric Structure,C0041951,43,0.8939772459395151
Anterograde Direction,C0589502,21,0.9674363838129022
Nephrostomy Tube Placement,C0948143,1,1.0
Generic Anaesthesia Procedure,C0002903,32,0.8530507132924929
Administration Procedures,C1533734,36,0.99326195380146
Dividing,C0332849,50,1.0
Dose Per Administration,C0178602,60,0.960253489335581
Micrograms,C0439211,4,0.761187711781808
40 Minutes,C5452765,7,1.0
Treatment Risk Benefit Analysis,C0687742,78,1.0
Brought On By,C0332302,67,1.0
Moderate Hydronephrosis,C0237060,8,1.0
Micropunctures,C0026014,110,1.0
Stiffener Device,C1710197,2,1.0
Departure Action,C1706081,3,1.0
Respiratory System Lung,C0024109,1,1.0
Stage Iii Non Small Cell Carcinoma Of The Lung,C0278506,9,1.0
Acute Pneumonia,C0740766,15,1.0
Recumbent Body Position,C0444334,11,0.86563010608598
Venous Access,C0750164,87,1.0
99M Technetium Diethylenetriaminepentaacetic Acid,C4708608,3,1.0
Xxx Vein . Left,C0947209,9,1.0
Femoral Vein Structure,C0015809,69,0.8250070226376321
Great Saphenous Vein Structure,C0392907,16,0.9768800460886589
Structure Of Subsartorial Vein,C1301369,52,1.0
Structure Of Popliteal Vein,C0032652,128,0.8386585005049901
Git Gastrointestinal Tract Haemorrhage,C0017181,123,1.0
Lower Git Gastrointestinal Haemorrhage,C0024050,3,1.0
Pre Sacral,C2698876,10,1.0
Cytochrome P450 Cyp19A1 Enzyme,C0059735,17,1.0
Unable To Assess,C3845137,2,1.0
Not Administered,C1548562,19,1.0
Response Declined,C1709925,4,1.0
Number Of Pulmonary Nodules,C4527369,1,1.0
Severely Limited,C4489696,10,1.0
Lung Effusion,C1403173,15,1.0
Marginated,C0442812,22,1.0
Flank Pains Left,C0423641,2,1.0
Catheter Tip Device,C0444299,68,0.9877068936462472
Follow Up Studies,C0016441,8,1.0
Structure Of Left Upper Quadrant Of Abdomen,C0230179,17,0.8275994065891944
Ribs On Right Side,C0947182,17,1.0
Positive Lymph Node,C0746319,7,0.8567096157903068
Microphasma,C2294664,1,1.0
Lung Lesion Cavitary,C0746131,6,1.0
Transabdominal Ultrasound,C2348813,14,1.0
Multisection : Finding : Point In Time : Spine . Lumbar : Narrative : Mri,C0882130,30,1.0
Multisection : Finding : Point In Time : Spine . Thoracic : Narrative : Mri,C0882557,39,1.0
Pain In Back,C0004604,15,0.949123335978911
Stir,C1883171,55,1.0
Magnetic Resonance Imaging Of Thoracic Spine,C0412719,3,1.0
Magnetic Resonance Imaging Of Lumbar Spine,C0412720,7,1.0
Anisotropic Disc,C0230715,6,1.0
First Sacral Spinal Nerve,C0501800,1,1.0
Left Upper Arm Structure,C0230347,43,0.9360080139957265
Structure Of Venous System Of Upper Extremity,C0226792,2,0.99
Make Instruction Imperative,C1881534,21,1.0
Very Unlikely,C3841878,1,1.0
Dvt Deep Vein Thrombosis,C0149871,66,1.0
Oncological Abnormality,C0027651,18,0.7938850325945181
Reactions Allergic,C1527304,22,0.9911097889023627
Pericardial Thickening,C4285909,9,1.0
Thick Walled,C4697736,14,1.0
Containments,C0009847,1,1.0
Computed Tomography Of Lungs,C0412611,34,1.0
Ct Computerised Tomography Guidance,C0475322,21,1.0
Send Transmission,C1519246,51,0.9866216102825851
Tissue Speciman,C1292533,81,0.8354126459432305
Anaerobic,C3641081,3,1.0
The Patient Was Prepped And Draped In The Usual Sterile Fashion,C2051590,3,1.0
Radiology . Nurse,C4300144,3,1.0
20 Gauge,C0450403,11,1.0
Microbiological,C0025953,9,0.988055947760993
Fifteen Minutes,C1442447,20,1.0
Cuffing Morphologic Abnormality,C3668885,25,0.8994092391950087
2 Days,C1442455,14,1.0
View Comparison,C0882980,9,0.7789275541803059
18 Hours,C1442448,3,1.0
Changes In Size,C0541591,26,1.0
Leukocytic Maturation Alteration Right Shift,C0427514,61,0.9836188299994214
Clinical Services,C1704289,28,1.0
History Of Pneumonectomy,C0455617,9,1.0
Interstitium,C2328510,10,1.0
Blistering Eruption,C0005758,81,0.9831625706497812
Clarification,C2986669,17,1.0
Profiling Action,C2003903,2,1.0
Bone Structure Of Sternum,C0038293,125,0.9905345408132766
Structure Of Left Axillary Region,C0230338,17,0.9500277767218509
Cardiac Effusion,C1399211,2,1.0
Structure Of Base Of Lung,C0225704,56,1.0
Environment Postoperative Anesthesia Care Unit,C0034871,39,1.0
Hypoattenuation,C4086504,65,1.0
Malignant Pericardial Effusion,C0220655,21,1.0
Formation Of Pericardial Window,C0031041,119,1.0
Cardiac Insufficiency,C0018801,55,0.9938181818181822
Material Degradation,C1881707,36,0.9997222222222223
Gastrograffin,C0733796,4,1.0
Extraluminal Route Of Drug Administration,C1517059,20,1.0
Renal Collecting System,C2953455,9,1.0
House Staff,C0020044,11,1.0
Structure Of Great Blood Vessel Organ,C0225991,55,0.8211077217256415
Retroesophageal,C4086828,3,1.0
Inflammation Of Common Bile Duct,C0005400,18,0.9916666666666666
Corneal Epithelial Microcysts,C1720485,1,1.0
Biliary Tract Structure,C0005423,6,0.9604744402293539
Dilated Loops,C4697734,64,1.0
Upper Gastrointestinal Tract Structure,C3203348,3,1.0
Responsible To Attribute,C1273518,23,1.0
Dilated Bowel,C3280831,14,1.0
Fusion Of Cervical Vertebrae,C3887527,15,0.9993333333333333
Bone And Soft Tissue,C5570778,14,1.0
Diagnostic Ultrasound Of Heart,C0013516,2,0.9034735237119362
Obliterating,C0700134,63,1.0
Retained Barium,C0748362,3,1.0
Sample Fixation,C1522662,10,0.8814427449352176
Liver Mass,C0240225,42,1.0
